tau_hat,age,female,post,age_sq,educ_0,educ_1,educ_2,educ_3
-0.11238614199097557,60.0,0.0,1,3600.0,1,0,0,0
-0.4860247013076629,32.0,0.0,0,1024.0,0,1,0,0
-0.24605428429943801,44.0,0.0,1,1936.0,1,0,0,0
-0.38884922289958385,41.0,0.0,0,1681.0,1,0,0,0
-0.13654337443108436,53.0,0.0,1,2809.0,0,1,0,0
-0.3809875212792034,47.5,0.0,0,2256.25,0,1,0,0
-0.3549458562239126,39.0,0.0,0,1521.0,1,0,0,0
-0.7373347902391404,28.5,0.0,0,812.25,0,1,0,0
-0.20498794076804736,48.0,0.0,1,2304.0,0,1,0,0
-0.3664012875253203,31.5,0.0,1,992.25,0,1,0,0
-0.3730554049711295,27.5,0.0,0,756.25,1,0,0,0
-0.437876331143305,46.0,0.0,0,2116.0,0,1,0,0
-0.20255098102022734,24.5,0.0,1,600.25,1,0,0,0
-0.29361538583841423,40.0,0.0,0,1600.0,1,0,0,0
-0.12160737942942923,48.5,0.0,1,2352.25,1,0,0,0
0.0689127666124666,61.5,0.0,0,3782.25,1,0,0,0
-0.25142075800272146,57.5,0.0,0,3306.25,0,1,0,0
-0.3318539615432188,21.0,0.0,0,441.0,1,0,0,0
-0.35262722453386564,40.5,0.0,0,1640.25,1,0,0,0
-0.8635648331166041,30.5,0.0,1,930.25,0,1,0,0
-0.2551763925795849,54.0,0.0,1,2916.0,0,1,0,0
-0.3762537622056752,51.0,0.0,1,2601.0,1,0,0,0
-0.0877073577266758,28.0,0.0,1,784.0,1,0,0,0
-0.9145579333589846,29.0,0.0,0,841.0,0,1,0,0
-0.4377727520273621,46.5,0.0,0,2162.25,1,0,0,0
-0.6049516605728804,30.0,0.0,1,900.0,0,0,1,0
-0.59582040312664,39.5,0.0,1,1560.25,1,0,0,0
-0.3056999185388455,55.5,0.0,0,3080.25,0,0,1,0
-0.2764081171654167,52.5,0.0,0,2756.25,1,0,0,0
-0.30959571360073324,50.0,0.0,0,2500.0,1,0,0,0
-0.06912903155455258,41.5,0.0,1,1722.25,0,1,0,0
-0.6772191516648103,34.0,0.0,0,1156.0,0,1,0,0
-0.4582648826153059,55.0,0.0,0,3025.0,1,0,0,0
-0.4343509055047652,28.5,0.0,0,812.25,1,0,0,0
-0.3475775095086501,28.0,0.0,0,784.0,1,0,0,0
-0.20498794076804736,48.0,0.0,1,2304.0,0,1,0,0
-0.33825353830686045,42.5,0.0,0,1806.25,0,1,0,0
-0.38884922289958385,41.0,0.0,0,1681.0,1,0,0,0
-0.38287774073202796,48.0,0.0,0,2304.0,0,0,1,0
-0.4588492975744693,43.0,0.0,0,1849.0,0,1,0,0
-0.12361399174633897,42.0,0.0,1,1764.0,1,0,0,0
-0.4366081011923864,37.0,0.0,0,1369.0,1,0,0,0
0.03404614354587049,49.5,0.0,1,2450.25,0,1,0,0
0.03404614354587049,49.5,0.0,1,2450.25,0,1,0,0
0.006571299593525782,59.5,0.0,1,3540.25,1,0,0,0
-0.4400811782859812,38.0,0.0,1,1444.0,1,0,0,0
-0.30987893043235515,54.0,0.0,0,2916.0,1,0,0,0
-0.31568219145315685,55.5,0.0,1,3080.25,1,0,0,0
-1.0585974296892193,18.0,0.0,1,324.0,1,0,0,0
-0.24883812094551272,25.0,0.0,1,625.0,0,1,0,0
-0.1856947092719589,42.0,0.0,1,1764.0,0,1,0,0
-0.06506206020041543,47.5,0.0,1,2256.25,1,0,0,0
-0.3475775095086501,28.0,0.0,0,784.0,1,0,0,0
-0.10932323886555188,33.0,0.0,0,1089.0,1,0,0,0
-0.01589754312284403,53.0,0.0,1,2809.0,1,0,0,0
-0.6449470158861876,63.0,0.0,0,3969.0,1,0,0,0
-0.1781013018611109,60.0,0.0,1,3600.0,0,1,0,0
-0.2675058787681359,40.5,0.0,1,1640.25,1,0,0,0
-0.30103116986328626,38.5,0.0,1,1482.25,1,0,0,0
-0.09811693933755167,27.0,0.0,0,729.0,1,0,0,0
-0.2785076826285461,34.5,0.0,0,1190.25,1,0,0,0
-0.4597111015437853,57.0,0.0,1,3249.0,1,0,0,0
-0.35948650510640956,40.0,0.0,1,1600.0,1,0,0,0
-0.38885902674730455,32.5,0.0,1,1056.25,0,1,0,0
-0.3771160268259832,56.0,0.0,0,3136.0,1,0,0,0
-0.01312469698046705,62.5,0.0,0,3906.25,0,1,0,0
-0.4682857823004913,37.5,0.0,0,1406.25,0,0,1,0
-0.2879653505594242,32.0,0.0,1,1024.0,1,0,0,0
-0.4860247013076629,32.0,0.0,0,1024.0,0,1,0,0
-0.3716688989013233,58.5,0.0,1,3422.25,0,1,0,0
-0.24033804914811663,31.5,0.0,0,992.25,1,0,0,0
-0.23140785560744012,25.5,0.0,0,650.25,1,0,0,0
-0.17034760771936722,38.5,0.0,0,1482.25,1,0,0,0
-0.3781867396350682,38.0,0.0,0,1444.0,1,0,0,0
-0.4708346760388278,37.0,0.0,1,1369.0,1,0,0,0
-0.440858645433186,25.5,0.0,0,650.25,0,1,0,0
-0.4065466159559044,32.5,0.0,1,1056.25,0,0,1,0
-0.19434878560755067,22.0,0.0,0,484.0,1,0,0,0
-0.23140785560744012,25.5,0.0,0,650.25,1,0,0,0
-0.6996959996645142,29.5,0.0,0,870.25,1,0,0,0
-0.06506206020041543,47.5,0.0,1,2256.25,1,0,0,0
-0.3247173114901551,55.5,0.0,1,3080.25,0,1,0,0
-0.3174243392803859,30.5,0.0,0,930.25,1,0,0,0
0.06164081951923318,26.5,0.0,0,702.25,1,0,0,0
-0.41882326395377584,43.0,0.0,0,1849.0,1,0,0,0
-0.440858645433186,25.5,0.0,0,650.25,0,1,0,0
-0.20867162854479665,49.5,0.0,0,2450.25,1,0,0,0
-0.12361399174633897,42.0,0.0,1,1764.0,1,0,0,0
-0.048406968620084784,45.0,0.0,1,2025.0,1,0,0,0
-0.3297146821602085,25.0,0.0,0,625.0,1,0,0,0
-0.44748027873461416,40.0,0.0,1,1600.0,0,0,1,0
-0.4860247013076629,32.0,0.0,0,1024.0,0,1,0,0
-0.4111004316233654,39.0,0.0,0,1521.0,0,0,1,0
-0.24439323339358016,23.5,0.0,0,552.25,1,0,0,0
-0.430692864367313,26.0,0.0,0,676.0,0,1,0,0
-0.37834579082713427,40.5,0.0,1,1640.25,0,0,1,0
-0.4708346760388278,37.0,0.0,1,1369.0,1,0,0,0
-0.2287188198418474,24.0,0.0,1,576.0,1,0,0,0
-0.01312469698046705,62.5,0.0,0,3906.25,0,1,0,0
-0.20255098102022734,24.5,0.0,1,600.25,1,0,0,0
-0.627618121605088,34.0,0.0,1,1156.0,1,0,0,0
-0.5068404003702552,33.0,0.0,0,1089.0,0,0,1,0
-0.7399318146659396,33.5,0.0,0,1122.25,0,0,1,0
-0.23221701784933985,53.0,0.0,0,2809.0,0,1,0,0
-0.12160737942942923,48.5,0.0,1,2352.25,1,0,0,0
-0.04628142187192782,47.5,0.0,1,2256.25,0,1,0,0
-0.44853332366983917,22.5,0.0,1,506.25,1,0,0,0
-0.23452098982725592,61.0,0.0,1,3721.0,0,1,0,0
-0.13398314869647324,49.5,0.0,0,2450.25,0,1,0,0
-0.10208172969750466,29.5,0.0,1,870.25,1,0,0,0
-0.30287199816868604,59.5,0.0,1,3540.25,0,1,0,0
-0.20867162854479665,49.5,0.0,0,2450.25,1,0,0,0
-0.13872203720171278,31.0,0.0,1,961.0,1,0,0,0
-0.3429204432712425,39.5,0.0,0,1560.25,1,0,0,0
0.15301205337179022,49.5,0.0,1,2450.25,1,0,0,0
-0.35948650510640956,40.0,0.0,1,1600.0,1,0,0,0
-0.4294449782070188,46.0,0.0,0,2116.0,1,0,0,0
-0.21487945887973953,37.5,0.0,1,1406.25,0,1,0,0
-0.13805237240395232,44.5,0.0,1,1980.25,1,0,0,0
-0.5494937128065217,59.0,0.0,0,3481.0,1,0,0,0
-0.13654337443108436,53.0,0.0,1,2809.0,0,1,0,0
-0.25028857161850526,22.0,0.0,1,484.0,1,0,0,0
-0.1436850676928662,41.0,0.0,1,1681.0,0,1,0,0
-0.07322532380141006,21.5,0.0,1,462.25,0,1,0,0
-0.30900288412662397,58.0,0.0,0,3364.0,0,1,0,0
-0.4582648826153059,55.0,0.0,0,3025.0,1,0,0,0
-0.17322135199946567,25.5,0.0,1,650.25,1,0,0,0
-0.40694459075084694,37.5,0.0,0,1406.25,1,0,0,0
-0.12310183436450325,59.0,0.0,1,3481.0,0,1,0,0
-0.4509259411917253,52.0,0.0,1,2704.0,1,0,0,0
-0.7028305968315932,27.0,0.0,0,729.0,0,0,1,0
-0.28392462289943665,57.0,0.0,0,3249.0,0,1,0,0
-0.11155374505034987,60.5,0.0,1,3660.25,1,0,0,0
